keys,description,ru,en
dateAndTime,luggage_order,Дата и время,Date and time
addingLuggage,luggage_order,Добавление багажа,Adding luggage
addNewLuggage,luggage_order,Добавить новый багаж,Add new luggage
takePhotoOfYourLuggage,luggage_order,Сфотографировать багаж,Take a photo of your luggage
addToOrder,luggage_order,Добавить к заказу,Add to order
changeLuggage,luggage_order,Изменить багаж,Change luggage
photo,luggage_order,Фотография,Photo
selectRate,luggage_order,Выберите тариф,Select tariff
rate,luggage_order,Тариф,Rate
additionalProtection,luggage_order,Доп. защита,Add. protection
putSealOnYourLuggage,luggage_order,Поставим пломбу на Ваш багаж,We will put a seal on your luggage
inSumOf3dimensions,luggage_order,В сумме 3-х измерений,In the sum of 3 dimensions
add,luggage_order,Добавить,Add
daily,luggage_order,Посуточно,Daily
specialOffers,luggage_order,Специальные предложения 🔥,Special offers 🔥
specialOffersTooltip,luggage_order,• При единовременной оплате\nза 2 или 3 суток хранения действует\nспециальное предложение\n• При хранении заказа менее\nоплаченного периода по ценам из\nспециального предложения сумма\nсредств за оставшееся время\nхранения не возвращается,"• If you make a one-time payment\nfor 2 or 3 days of storage, a\nspecial offer\nis valid\n• When storing an order for less\npaid period at prices from\nthe special offer, the amount\nof funds for the remaining\nstorage time is not refundable"
storageConditions,luggage_order,Условия хранения,Storage conditions
weAnswerYourQuestions,luggage_order,Отвечаем на ваши вопросы,We answer your questions
storageConditionsTitle1,storage_conditions,Стоимость хранения,Storage cost
storageConditionsDescription1,storage_conditions,одного места багажа исчисляется с момента сдачи до 00:00 текущих суток,one piece of baggage is calculated from the moment of delivery until 00:00 of the current day
storageConditionsTitle2,storage_conditions,Последующее хранение,Subsequent storage
storageConditionsDescription2,storage_conditions,Продление с 00:00 часов следующих суток с округлением до полных суток,"Extension from 00:00 the next day, rounded up to a full day"
storageConditionsTitle3,storage_conditions,Оплата за первые сутки,Payment for the first day
storageConditionsDescription3,storage_conditions,производится при сдаче багажа. Доплата за последующее хранение — при выдаче багажа,is done when checking in baggage. Additional payment for subsequent storage - upon baggage claim
storageConditionsTitle4,storage_conditions,Выдача вещей,Issue of things
storageConditionsDescription4,storage_conditions,на временное использование считается завершением оказания услуги,for temporary use is considered the completion of the service
storageConditionsTitle5,storage_conditions,Повторная сдача,Retake
storageConditionsDescription5,storage_conditions,"подлежит оплате, согласно действующему прейскуранту. Любая привязь считается отдельным местом",payable according to the current price list. Any tether is considered a separate place
storageConditionsTitle6,storage_conditions,Вещи на хранение,Items for storage
storageConditionsDescription6,storage_conditions,принимаются с объявленной стоимостью 60 000 ₽,"accepted with a declared price of 60,000 ₽"
wrongPaymentMethod,cancel_order,Не тот способ оплаты,Wrong payment method
willChangeOrderAndPlaceAgain,cancel_order,Изменю заказ и оформлю заново,I will change the order and place it again
notSatisfiedWithPriceAndTariff,cancel_order,Не устраивает цена и тариф,Not satisfied with the price and tariff
notSatisfiedWithStorageRoom,cancel_order,Не устраивает камера хранения,Not satisfied with the storage room
foundAnotherOption,cancel_order,Нашел другой вариант,Found another option
changedMindAboutBuying,cancel_order,Передумал покупать,Changed my mind about buying
anotherReason,cancel_order,Другая причина,Another reason
orderCanceled,cancel_order,Заказ отменен,Order canceled
cancellationOfOrder,cancel_order,Отмена заказа,Cancellation of an order
whyDecidedToCancelOrder,cancel_order,Почему решили отменить заказ?,Why did you decide to cancel the order?
describeTheProblem,cancel_order,Опишите проблему,Describe the problem
cancelOrderAndIssueRefund,cancel_order,Отменить заказ и оформить возврат,Cancel order and issue a refund
moneyWillBeReturnedToAccount,cancel_order,Деньги скоро вернутся на счет,The money will be returned to your account soon
cancelOrder,order,Отменить заказ,Cancel order
checkInYourLuggage,order,Сдать багаж,Check in luggage
date,order,Дата:,Date:
mile,order,миля,mile
miles,order,мили,miles
orderHelp,order,Помощь по заказу,Order help
orderHowToGet,order,Для получения багажа перейдите на страницу заказа,"To claim your luggage, go to the order page"
orderPaymentRequired,order,Необходимо оплатить заказ,You need to pay for your order
orderStatus,order,Статус заказа,Order status
additionalPaymentIsRequired,order,Требуется доплата,Additional payment required
inProcessing,order,В обработке,In processing
inStorage,order,На хранении,In storage
issuedSingle,order,Выдан,Issued
partiallyIssued,order,Выдан частично,Partially issued
pickUpLuggage,order,Забрать багаж,Pick up luggage
placed,order,Оформлен,Decorated
forTheFirst,order,за первые,for the first
firstDay,order,Первые сутки,First day
dayPeriod,order,сутки,day
first,order,Первые,First
day,order,день,day
forDays,order,"{count, plural, =0{{count} дней} =1{{count} день} few{{count} дня} many{{count} дней} other{{count} дней}}","{count, plural, =0{{count} days} =1{{count} day} few{{count} days} many{{count} days} other{{count} days}}"
subsequentDay,order,Каждые последующие сутки,Every subsequent day
yourOrderIsBeingProcessed,order,Ваш заказ обрабатывается. Для обновления статусов заказа потяните вниз,"Your order is being processed. To update order statuses, pull down"
goToOrder,order,Перейти к заказу,Go to order
codeUpdatedEveryMinutes,order,Код обновляется каждые {minutes} минут,The code is updated every {minutes} minutes
notPaidFor,order,Не оплачен,Not paid
cancelled,order,Отменен,Canceled
order,order,Заказ,Order
paid,order,Оплачен,Paid
waitForPaymentConfirmation,order,Дождитесь подтверждения оплаты,Wait for payment confirmation
forWithdrawLuggageSelectFromList,order,"Для получения багажа, выберите его из списка","To claim baggage, select it from the list"
showQRCodeToEmployeeForPayAndDeposit,order,Покажите QR-код сотруднику для оплаты и сдачи багажа,Show the QR code to the employee for payment and baggage check-in
showQRCodeToEmployeeForPayAndWithdraw,order,Покажите QR-код сотруднику для оплаты и получения багажа,Show the QR code to the employee to pay and claim your luggage
showQRCodeToEmployeeForDeposit,order,Покажите QR-код сотруднику для сдачи багажа,Show the QR code to the employee to check your luggage
showQRCodeToEmployeeForWithdraw,order,Покажите QR-код сотруднику для получения багажа,Show the QR code to the employee to claim your luggage
orderReceipts,order,Чеки заказа,Order receipts
issueAReturn,order,Оформить возврат,Issue a return
doYouWantToIssueAReturn,order,Хотите оформить возврат?,Do you want to issue a return?
doYouWantToIssueAReturnDescription,order,"Вы сможете продолжить работу с заказом, деньги вернутся на карту","You will be able to continue working with the order, the money will be returned to the card"
notNow,order,Не сейчас,Not now
yesIssueIt,order,"Да, оформить","Yes, issue it"
sorryNoReceiptsAreAvailable,order,"Извините, в настоящее время чеки по указанному заказу отсутствуют.","Sorry, no receipts are available for this order at this time."
returnHasBeenProcessedTheMoneyWillBeReturned,order,Возврат оформлен.\nДеньги скоро вернутся на счет,The return has been processed.\nThe money will be returned to your account soon
luggageKeeping,order,Хранение багажа,Luggage storage
forStorage,order,За хранение,For storage
discount,order,Скидка,Discount
minimumOrderAmount,order,Минимальная сумма заказа,Minimum order amount
total,order,Итого,Total
manualLuggageStorage,order,Ручная камера хранения,Manual luggage storage
luggageTransferred,order,Багаж передается,Baggage is transferred
luggageIssued,order,Багаж выдается,Baggage is issued
paid,order,Оплачено,Paid
placedInStorage,order,Сдан на хранение,Placed in storage
orderHasBeenIssued,order,Заказ выдан,The order has been issued
youDecidedOrderCancellation,order,Вы решили отменить заказ,You have decided to cancel your order
selectAll,order,Выбрать все,Select all
autoBookingEnabled,order,Автосписание включено,Auto write off enabled
autoBookingDisabled,order,Автосписание выключено,Auto write off is disabled
autoBooking,order,Автосписание,Auto write-off
autoBookingAdvice,order,"Советуем включать, так удобнее","We recommend turning it on, it’s more convenient."
disableAutoBookingQuestion,order,Хотите отключить автосписание?,Do you want to disable auto-debit?
disableAutoBookingDescription,order,Придется вручную выбирать способ оплаты,You will have to manually select a payment method
disable,order,Отключить,Disable
submitOrder,order,Сдать заказ,Submit an order
pickupOrder,order,Забрать заказ,Pick up your order
storedInStorageRoom,order,Хранятся в камере хранения,Stored in a storage room
issuedPlural,order,Выданы,Issued
timeLeft,order,Осталось,Left
orderContent,order,Состав заказа,Order content
